structure_name,country_code,country,measure,unit_measure,adjustment,sex,age_group,frequency,time_period,year,quarter,employment_value,observation_status,is_estimated
Employed population by age groups,GBR,United Kingdom,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2025-Q4,2025,Q4,16579.0,Normal value,False
Employed population by age groups,CAN,Canada,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2016-Q1,2016,Q1,8952.3,Normal value,False
Employed population by age groups,CAN,Canada,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2016-Q2,2016,Q2,8971.533,Normal value,False
Employed population by age groups,CAN,Canada,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2016-Q3,2016,Q3,9008.1,Normal value,False
Employed population by age groups,CAN,Canada,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2016-Q4,2016,Q4,9061.134,Normal value,False
Employed population by age groups,CAN,Canada,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2017-Q1,2017,Q1,9117.6,Normal value,False
Employed population by age groups,CAN,Canada,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2017-Q2,2017,Q2,9158.533,Normal value,False
Employed population by age groups,CAN,Canada,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2017-Q3,2017,Q3,9204.333,Normal value,False
Employed population by age groups,CAN,Canada,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2017-Q4,2017,Q4,9272.3,Normal value,False
Employed population by age groups,CAN,Canada,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2018-Q1,2018,Q1,9302.1,Normal value,False
Employed population by age groups,CAN,Canada,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2018-Q2,2018,Q2,9329.866,Normal value,False
Employed population by age groups,CAN,Canada,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2018-Q3,2018,Q3,9362.833,Normal value,False
Employed population by age groups,CAN,Canada,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2018-Q4,2018,Q4,9422.066,Normal value,False
Employed population by age groups,CAN,Canada,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2019-Q1,2019,Q1,9432.566,Normal value,False
Employed population by age groups,CAN,Canada,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2019-Q2,2019,Q2,9489.833,Normal value,False
Employed population by age groups,CAN,Canada,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2019-Q3,2019,Q3,9506.9,Normal value,False
Employed population by age groups,CAN,Canada,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2019-Q4,2019,Q4,9493.066,Normal value,False
Employed population by age groups,CAN,Canada,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2020-Q1,2020,Q1,9408.733,Normal value,False
Employed population by age groups,CAN,Canada,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2020-Q2,2020,Q2,8412.2,Normal value,False
Employed population by age groups,CAN,Canada,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2020-Q3,2020,Q3,9094.7,Normal value,False
Employed population by age groups,CAN,Canada,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2020-Q4,2020,Q4,9289.6,Normal value,False
Employed population by age groups,CAN,Canada,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2021-Q1,2021,Q1,9329.6,Normal value,False
Employed population by age groups,CAN,Canada,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2021-Q2,2021,Q2,9369.267,Normal value,False
Employed population by age groups,CAN,Canada,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2021-Q3,2021,Q3,9514.167,Normal value,False
Employed population by age groups,CAN,Canada,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2021-Q4,2021,Q4,9657.9,Normal value,False
Employed population by age groups,CAN,Canada,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2022-Q1,2022,Q1,9706.1,Normal value,False
Employed population by age groups,CAN,Canada,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2022-Q2,2022,Q2,9783.333,Normal value,False
Employed population by age groups,CAN,Canada,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2022-Q3,2022,Q3,9811.8,Normal value,False
Employed population by age groups,CAN,Canada,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2022-Q4,2022,Q4,9872.6,Normal value,False
Employed population by age groups,CAN,Canada,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2023-Q1,2023,Q1,9975.167,Normal value,False
Employed population by age groups,CAN,Canada,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2023-Q2,2023,Q2,10038.53,Normal value,False
Employed population by age groups,CAN,Canada,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2023-Q3,2023,Q3,10112.17,Normal value,False
Employed population by age groups,CAN,Canada,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2023-Q4,2023,Q4,10178.4,Normal value,False
Employed population by age groups,CAN,Canada,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2024-Q1,2024,Q1,10232.23,Normal value,False
Employed population by age groups,CAN,Canada,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2024-Q2,2024,Q2,10274.67,Normal value,False
Employed population by age groups,CAN,Canada,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2024-Q3,2024,Q3,10306.77,Normal value,False
Employed population by age groups,CAN,Canada,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2024-Q4,2024,Q4,10362.1,Normal value,False
Employed population by age groups,CAN,Canada,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2025-Q1,2025,Q1,10407.17,Normal value,False
Employed population by age groups,CAN,Canada,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2025-Q2,2025,Q2,10416.57,Normal value,False
Employed population by age groups,CAN,Canada,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2025-Q3,2025,Q3,10422.67,Normal value,False
Employed population by age groups,CAN,Canada,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2025-Q4,2025,Q4,10488.53,Normal value,False
Employed population by age groups,CZE,Czechia,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2016-Q1,2016,Q1,2796.611,Normal value,False
Employed population by age groups,CZE,Czechia,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2016-Q2,2016,Q2,2798.393,Normal value,False
Employed population by age groups,CZE,Czechia,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2016-Q3,2016,Q3,2808.999,Normal value,False
Employed population by age groups,CZE,Czechia,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2016-Q4,2016,Q4,2818.198,Normal value,False
Employed population by age groups,CZE,Czechia,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2017-Q1,2017,Q1,2829.688,Normal value,False
Employed population by age groups,CZE,Czechia,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2017-Q2,2017,Q2,2837.64,Normal value,False
Employed population by age groups,CZE,Czechia,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2017-Q3,2017,Q3,2850.845,Normal value,False
Employed population by age groups,CZE,Czechia,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2017-Q4,2017,Q4,2853.327,Normal value,False
Employed population by age groups,CZE,Czechia,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2018-Q1,2018,Q1,2857.219,Normal value,False
Employed population by age groups,CZE,Czechia,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2018-Q2,2018,Q2,2863.319,Normal value,False
Employed population by age groups,CZE,Czechia,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2018-Q3,2018,Q3,2859.745,Normal value,False
Employed population by age groups,CZE,Czechia,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2018-Q4,2018,Q4,2866.318,Normal value,False
Employed population by age groups,CZE,Czechia,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2019-Q1,2019,Q1,2866.55,Normal value,False
Employed population by age groups,CZE,Czechia,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2019-Q2,2019,Q2,2868.78,Normal value,False
Employed population by age groups,CZE,Czechia,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2019-Q3,2019,Q3,2857.617,Normal value,False
Employed population by age groups,CZE,Czechia,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2019-Q4,2019,Q4,2858.453,Normal value,False
Employed population by age groups,CZE,Czechia,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2020-Q1,2020,Q1,2862.601,Normal value,False
Employed population by age groups,CZE,Czechia,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2020-Q2,2020,Q2,2838.224,Normal value,False
Employed population by age groups,CZE,Czechia,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2020-Q3,2020,Q3,2841.443,Normal value,False
Employed population by age groups,CZE,Czechia,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2020-Q4,2020,Q4,2825.733,Normal value,False
Employed population by age groups,CZE,Czechia,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2021-Q1,2021,Q1,2826.382,Normal value,False
Employed population by age groups,CZE,Czechia,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2021-Q2,2021,Q2,2829.052,Normal value,False
Employed population by age groups,CZE,Czechia,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2021-Q3,2021,Q3,2833.354,Normal value,False
Employed population by age groups,CZE,Czechia,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2021-Q4,2021,Q4,2829.813,Normal value,False
Employed population by age groups,CZE,Czechia,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2022-Q1,2022,Q1,2812.412,Normal value,False
Employed population by age groups,CZE,Czechia,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2022-Q2,2022,Q2,2804.384,Normal value,False
Employed population by age groups,CZE,Czechia,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2022-Q3,2022,Q3,2790.412,Normal value,False
Employed population by age groups,CZE,Czechia,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2022-Q4,2022,Q4,2783.492,Normal value,False
Employed population by age groups,CZE,Czechia,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2023-Q1,2023,Q1,2756.768,Normal value,False
Employed population by age groups,CZE,Czechia,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2023-Q2,2023,Q2,2755.825,Normal value,False
Employed population by age groups,CZE,Czechia,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2023-Q3,2023,Q3,2739.368,Normal value,False
Employed population by age groups,CZE,Czechia,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2023-Q4,2023,Q4,2729.238,Normal value,False
Employed population by age groups,CZE,Czechia,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2024-Q1,2024,Q1,2784.439,Normal value,False
Employed population by age groups,CZE,Czechia,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2024-Q2,2024,Q2,2737.599,Normal value,False
Employed population by age groups,CZE,Czechia,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2024-Q3,2024,Q3,2729.729,Normal value,False
Employed population by age groups,CZE,Czechia,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2024-Q4,2024,Q4,2722.033,Normal value,False
Employed population by age groups,CZE,Czechia,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2025-Q1,2025,Q1,2712.29,Normal value,False
Employed population by age groups,CZE,Czechia,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2025-Q2,2025,Q2,2693.852,Normal value,False
Employed population by age groups,CZE,Czechia,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2025-Q3,2025,Q3,2701.113,Normal value,False
Employed population by age groups,CZE,Czechia,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2025-Q4,2025,Q4,2701.346,Normal value,False
Employed population by age groups,FIN,Finland,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2016-Q1,2016,Q1,1202.27,Normal value,False
Employed population by age groups,FIN,Finland,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2016-Q2,2016,Q2,1211.592,Normal value,False
Employed population by age groups,FIN,Finland,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2016-Q3,2016,Q3,1208.892,Normal value,False
Employed population by age groups,FIN,Finland,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2016-Q4,2016,Q4,1212.246,Normal value,False
Employed population by age groups,FIN,Finland,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2017-Q1,2017,Q1,1213.855,Normal value,False
Employed population by age groups,FIN,Finland,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2017-Q2,2017,Q2,1218.146,Normal value,False
Employed population by age groups,FIN,Finland,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2017-Q3,2017,Q3,1227.091,Normal value,False
Employed population by age groups,FIN,Finland,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2017-Q4,2017,Q4,1238.907,Normal value,False
Employed population by age groups,FIN,Finland,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2018-Q1,2018,Q1,1245.422,Normal value,False
Employed population by age groups,FIN,Finland,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2018-Q2,2018,Q2,1250.045,Normal value,False
Employed population by age groups,FIN,Finland,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2018-Q3,2018,Q3,1260.189,Normal value,False
Employed population by age groups,FIN,Finland,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2018-Q4,2018,Q4,1260.344,Normal value,False
Employed population by age groups,FIN,Finland,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2019-Q1,2019,Q1,1264.877,Normal value,False
Employed population by age groups,FIN,Finland,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2019-Q2,2019,Q2,1260.062,Normal value,False
Employed population by age groups,FIN,Finland,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2019-Q3,2019,Q3,1267.423,Normal value,False
Employed population by age groups,FIN,Finland,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2019-Q4,2019,Q4,1268.637,Normal value,False
Employed population by age groups,FIN,Finland,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2020-Q1,2020,Q1,1270.349,Normal value,False
Employed population by age groups,FIN,Finland,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2020-Q2,2020,Q2,1234.106,Normal value,False
Employed population by age groups,FIN,Finland,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2020-Q3,2020,Q3,1246.762,Normal value,False
Employed population by age groups,FIN,Finland,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2020-Q4,2020,Q4,1250.782,Normal value,False
Employed population by age groups,FIN,Finland,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2021-Q1,2021,Q1,1258.793,Normal value,False
Employed population by age groups,FIN,Finland,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2021-Q2,2021,Q2,1269.336,Normal value,False
Employed population by age groups,FIN,Finland,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2021-Q3,2021,Q3,1266.487,Normal value,False
Employed population by age groups,FIN,Finland,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2021-Q4,2021,Q4,1289.784,Normal value,False
Employed population by age groups,FIN,Finland,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2022-Q1,2022,Q1,1283.452,Normal value,False
Employed population by age groups,FIN,Finland,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2022-Q2,2022,Q2,1290.24,Normal value,False
Employed population by age groups,FIN,Finland,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2022-Q3,2022,Q3,1297.166,Normal value,False
Employed population by age groups,FIN,Finland,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2022-Q4,2022,Q4,1294.542,Normal value,False
Employed population by age groups,FIN,Finland,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2023-Q1,2023,Q1,1293.018,Normal value,False
Employed population by age groups,FIN,Finland,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2023-Q2,2023,Q2,1293.87,Normal value,False
Employed population by age groups,FIN,Finland,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2023-Q3,2023,Q3,1280.894,Normal value,False
Employed population by age groups,FIN,Finland,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2023-Q4,2023,Q4,1277.618,Normal value,False
Employed population by age groups,FIN,Finland,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2024-Q1,2024,Q1,1282.701,Normal value,False
Employed population by age groups,FIN,Finland,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2024-Q2,2024,Q2,1273.063,Normal value,False
Employed population by age groups,FIN,Finland,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2024-Q3,2024,Q3,1279.408,Normal value,False
Employed population by age groups,FIN,Finland,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2024-Q4,2024,Q4,1272.729,Normal value,False
Employed population by age groups,FIN,Finland,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2025-Q1,2025,Q1,1276.417,Normal value,False
Employed population by age groups,FIN,Finland,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2025-Q2,2025,Q2,1276.814,Normal value,False
Employed population by age groups,FIN,Finland,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2025-Q3,2025,Q3,1275.361,Normal value,False
Employed population by age groups,FIN,Finland,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2025-Q4,2025,Q4,1279.008,Normal value,False
Employed population by age groups,GRC,Greece,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2016-Q1,2016,Q1,2090.84,Normal value,False
Employed population by age groups,GRC,Greece,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2016-Q2,2016,Q2,2090.571,Normal value,False
Employed population by age groups,GRC,Greece,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2016-Q3,2016,Q3,2091.164,Normal value,False
